Fremont County,13242,44.218091,-111.484429
Gem County,16719,44.061473,-116.398784
Gooding County,15464,42.973185,-114.82142
Idaho County,16267,45.849237,-115.467376
Jefferson County,26140,43.796965,-112.318588
Jerome County,22374,42.691171,-114.263009
Kootenai County,138494,47.677113,-116.694918
Latah County,37244,46.81892,-116.730974
Lemhi County,7936,44.928789,-113.887841
Lewis County,3821,46.236328,-116.42376
Lincoln County,5208,42.986181,-114.153899
Madison County,37536,43.789709,-111.65655
Minidoka County,20069,42.856937,-113.64001
Nez Perce County,39265,46.333766,-116.760903
Oneida County,4286,42.18389,-112.520465
Owyhee County,11526,42.593063,-116.142655
Payette County,22623,44.00274,-116.748655
Power County,7817,42.694126,-112.844407
Shoshone County,12765,47.347694,-115.885092
Teton County,10170,43.760994,-111.211765
Twin Falls County,77230,42.352309,-114.665639
Valley County,9862,44.771532,-115.637875
Washington County,10198,44.448213,-116.79783
Adams County,67103,39.986052,-91.194961
Alexander County,8238,37.183683,-89.349506
Bond County,17768,38.885924,-89.436592
Boone County,54165,42.318983,-88.824295
Brown County,6937,39.962069,-90.750309
Bureau County,34978,41.401304,-89.528377
Calhoun County,5089,39.164262,-90.666295
Carroll County,15387,42.059084,-89.926485
Cass County,13642,39.969202,-90.245704
Champaign County,201081,40.13915,-88.197201
Christian County,34800,39.545524,-89.279593
Clark County,16335,39.332364,-87.791687
Clay County,13815,38.747312,-88.483789
Clinton County,37762,38.606423,-89.423136
Coles County,53873,39.51368,-88.220782
Cook County,5194675,41.894294,-87.645455
Crawford County,19817,39.00373,-87.757172
Cumberland County,11048,39.273121,-88.240619
DeKalb County,105160,41.894612,-88.768991
De Witt County,16561,40.181499,-88.901853
Douglas County,19980,39.766078,-88.222866
DuPage County,916924,41.852058,-88.086038
Edgar County,18576,39.679037,-87.74711
Edwards County,6721,38.417095,-88.047941
Effingham County,34242,39.047694,-88.592786
Fayette County,22140,39.001125,-89.017923
Ford County,14081,40.594423,-88.224746
Franklin County,39561,37.991848,-88.926246
Fulton County,37069,40.465688,-90.206793
Gallatin County,5589,37.768677,-88.227964
Greene County,13886,39.355444,-90.387757
Grundy County,50063,41.29241,-88.401054
Hamilton County,8457,38.085226,-88.539005
Hancock County,19104,40.405792,-91.167987
Hardin County,4320,37.517852,-88.266148
Henderson County,7331,40.815141,-90.93848
Henry County,50486,41.350021,-90.130838
Iroquois County,29718,40.748867,-87.833601
Jackson County,60218,37.786096,-89.381212
Jasper County,9698,39.004874,-88.150763
Jefferson County,38827,38.30078,-88.92421
Jersey County,22985,39.080192,-90.361365
Jo Daviess County,22678,42.362391,-90.21147
Johnson County,12582,37.460815,-88.882962
Kane County,515269,41.939594,-88.42804
Kankakee County,113449,41.139494,-87.861125
Kendall County,114736,41.58814,-88.430626
Knox County,52919,40.930941,-90.213761
Lake County,703462,42.326444,-87.436118
LaSalle County,113924,41.343341,-88.885931
Lawrence County,16833,38.718954,-87.730221
Lee County,36031,41.747442,-89.299351
Livingston County,38950,40.894376,-88.552852
Logan County,30305,40.12907,-89.365308
McDonough County,32612,40.455789,-90.677579
McHenry County,308760,42.324298,-88.452245
McLean County,169572,40.494559,-88.844539
Macon County,110768,39.860237,-88.961529
Macoupin County,47765,39.2659,-89.926344
Madison County,269282,38.827082,-89.900195
Marion County,39437,38.648396,-88.920221
Marshall County,12640,41.031119,-89.342371
Mason County,14666,40.236993,-89.913575
Massac County,15429,37.216119,-88.705658
Menard County,12705,40.022569,-89.794133
Mercer County,16434,41.204791,-90.741433
Monroe County,32957,38.277983,-90.179078
Montgomery County,30104,39.228092,-89.478007
Morgan County,35547,39.716806,-90.202277
Moultrie County,14846,39.636896,-88.625726
Ogle County,53497,42.041884,-89.320176
Peoria County,186494,40.785999,-89.767358
Perry County,22350,38.084385,-89.368487
Piatt County,16729,40.009056,-88.592328
Pike County,16430,39.625106,-90.889034
Pope County,4470,37.417169,-88.542374
Pulaski County,6161,37.215615,-89.127755
Putnam County,6006,41.19894,-89.298386
Randolph County,33476,38.056515,-89.82121
Richland County,16233,38.71155,-88.085698
Rock Island County,147546,41.468404,-90.572203
St. Clair County,270056,38.470198,-89.928546
Saline County,24913,37.751653,-88.545031
Sangamon County,197465,39.756378,-89.662311
Schuyler County,7544,40.156905,-90.613464
Scott County,5355,39.636979,-90.477759
Shelby County,22363,39.384926,-88.798862
Stark County,5994,41.096908,-89.797411
Stephenson County,47711,42.349726,-89.665994
Tazewell County,135394,40.508074,-89.51626
Union County,17808,37.475104,-89.252875
Vermilion County,81625,40.18674,-87.726771
Wabash County,11947,38.445821,-87.839167
Warren County,17707,40.850441,-90.620223
Washington County,14716,38.35314,-89.417187
